用例名称,优先级,前置条件,步骤描述,预期结果
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「单选成员」,P2,"1、成员A有项目A中任务的单选成员：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：成员A、成员B、成员C
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的下拉菜单
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择成员C后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「多选菜单」,P2,"1、成员A有项目A中任务的多选菜单属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：1、2、3
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的下拉菜单
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择1、2后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性：编辑的属性值查看查看权限丢失（所属产品）,P2,"1、成员A有项目A中任务的所属产品的编辑权限，项目A中存在任务：任务1
2、成员A有产品1、产品2、产品3的查看权限
3、成员B是超级管理员
4、成员A进入任务1详情页，点开所属产品的下拉菜单
5、此时成员B产品管理-产品1-产品设置，取消成员A查看产品的权限",#成员A选择产品1后失焦,#toast：你没有查看产品的权限，请联系管理员。
任务详情-属性-编辑权限丢失：属性的编辑权限丢失「单选菜单」,P2,"1、成员A有项目A中任务的单选菜单属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：1、2、3
3、成员B是超级管理员
4、成员A进入任务1详情页，点开属性1的下拉菜单
5、此时成员B项目A-任务-工作项权限，移除成员A编辑属性1的权限","#成员A选择1后失焦
#刷新页面后再次点击属性1输入框","#toast：你没有工作项属性的修改权限，请联系管理员。
#禁用"
任务详情-属性-属性值被删除：选择的属性值被异步删除（单选菜单）,P2,"1、成员A有项目A中任务的单选菜单属性：「属性1」的编辑权限，项目A中存在任务：任务1
2、属性1存在可选值：1、2、3
3、成员A进入任务1详情页，点开属性1的下拉菜单（此时「属性1」的可选值「1」已被异步删除）",#成员A选择「1」后失焦,#toast：工作项的属性1不合法，格式错误，请重新提交。
新建任务：新建任务（汇总模式-管理自己预估工时权限丢失）,P2,"1、当前团队工时模式为：汇总模式
2、成员A有项目A下任务创建权限，以及「管理自己的预估工时」权限
3、成员B为超级管理员
4、成员A已进入项目A-任务-新建工作项页面，已选属性包括「预估工时」","#1、输入所有必填项
2、给自己添加一条预估工时
3、此时成员B取消成员A任务的权限：管理自己的预估工时
4、成员A点击「确认」",#新建失败，toast：你没有管理自己预估工时的权限，请联系管理员。
新建任务：新建任务（汇总模式-管理所有预估工时权限丢失）,P2,"1、当前团队工时模式为：汇总模式
2、成员A有项目A下任务创建权限，以及「管理所有预估工时」和「管理自己的预估工时」权限
3、成员B为超级管理员
4、成员A已进入项目A-任务-新建工作项页面，已选属性包括「预估工时」","#1、输入所有必填项
2、同一个工作项，给自己添加一条预估工时，给其他成员添加一条预估工时
3、此时成员B取消成员A任务的权限：管理所有预估工时
4、成员A点击「确认」",#新建失败，toast：你没有管理所有预估工时的权限，请联系管理员。
新建任务：新建任务（简单模式-管理所有预估工时权限丢失）,P2,"1、当前团队工时模式为：简单模式
2、成员A有项目A下任务创建权限，以及「管理预估工时」权限
3、成员B为超级管理员
4、成员A已进入项目A-任务-批量新建工作项页面，已选属性包括「预估工时」","#1、输入所有必填项
2、给自己添加一条预估工时
3、此时成员B取消成员A任务的权限：管理预估工时
4、成员A点击「确认」",#新建失败，toast：你没有管理预估工时的权限，请联系管理员。
新建任务：提交时有新增的必填属性,P2,"1、存在项目A-任务，任务存在默认系统属性和自定义属性：自定义单选菜单、自定义多选菜单、自定义单选成员、自定义多选成员、自定义单选迭代、自定义多选项目、自定义单行文本、自定义多行文本、自定义整数、自定义浮点数、自定义时间、自定义日期，均为非必填
2、成员A有任务的创建权限
3、成员A已进入项目A-任务-批量新建工作项页面，填写了所有系统默认必填属性
4、成员B是超级管理员","#1、成员B进入项目A-任务-属性与视图-详情表单-属性配置页面中修改「自定义单选文本」为必填
2、成员A点击提交",#新建失败，toast：有新增的必填属性，请刷新后重试
新建任务：多选项目选择值部分被删除,P2,"1、成员A有项目A中任务的创建权限，任务新建表单存在属性：多选项目
2、多选项目选项值：1、2
3、成员A进入项目A-建任务弹窗中，多选项目选择：1、2（异步删除选项值1）",#点击「确认」,#新建失败，toast：该项目已被删除
新建任务：新建任务，丢失部分子工作项的查看权限,P2,"1、存在成员A有项目A-任务的创建权限，有子任务、子需求的创建权限
2、进入项目A-任务-建任务弹窗（异步丢失子任务查看权限）","#1、必填项填写
2、点击「+子任务」「+子需求」，填写子工作项的必填项
3、点击「确认」
#再次点击「+建任务」，检查子工作项的选项
#1、有查看任务、子任务、子需求的成员进入项目A-任务
2、查看任务详情","#新建成功，toast：任务 #ID 创建成功。点击查看详情
#存在「+子任务」「+子需求」
#存在子任务、子需求"
新建任务：新建任务，丢失部分子工作项的创建权限,P2,"1、存在成员A有项目A-任务的创建权限，有子任务、子需求的创建权限
2、进入项目A-任务-建任务弹窗（异步丢失创建子任务权限）","#1、必填项填写
2、点击「+子任务」「+子需求」，填写子工作项的必填项
3、点击「确认」
#再次点击「+建任务」，检查子检查的选项
#1、有查看任务、子任务、子需求的成员进入项目A-任务
2、查看任务详情","#新建成功，出现3个toast：
1、任务 #ID 创建成功。点击查看详情
2、1个子工作项创建失败。
3、你没有创建工作项的权限，请联系管理员
#不存在「+子任务」
#存在子需求"
新建子任务：新建子任务时，丢失父工作项的查看权限,P2,"1、成员A有项目A中子任务的创建权限
2、项目A存在工作项：任务1
2、成员A进入项目A-任务1-建子任务弹窗中，必填值已填写（异步丢失父工作项的查看权限）",#新建弹窗，点击「确认」,"#新建失败，出现两个toast
1、工作项 #ID 创建成功。点击查看详情
2、您没有权限访问该工作项，请联系管理员。"
新建任务：新建任务（属性在配置中心删除）,P2,"1、存在成员A有项目A-任务的创建权限
2、任务存在属性：
自定义属性：
单选菜单
多选菜单
单行文本
多行文本
日期
时间
单选迭代
单选成员
多选成员
多选项目
整数
浮点数
3、进入项目A-任务-建任务弹窗（异步删除配置中心的以上属性）","#修改以上属性的值，直接点击「确认」
#再次点击「+建任务」","#1、弹窗关闭，新建成功，任务 #ID 创建成功。点击查看详情
#弹窗中不存在以上属性"
新建任务：新建任务（属性在视图中删除）,P2,"1、存在成员A有项目A-任务的创建权限
2、任务存在属性：
系统属性：
处理结果
发布日期
故事点
关联发布
截止日期
解决者
缺陷类型
所属迭代
严重程度
优先极
进度

自定义属性：
单选菜单
多选菜单
单行文本
多行文本
日期
时间
单选迭代
单选成员
多选成员
多选项目
整数
浮点数
3、进入项目A-任务-建任务弹窗（异步删除项目A-任务视图的以上属性）","#修改以上属性的值，直接点击「确认」
#再次点击「+建任务」","#1、弹窗关闭，新建成功，任务 #ID 创建成功。点击查看详情
#弹窗中不存在以上属性"
新建任务：新建任务，修改存在默认值的必填属性（丢失新建工作项的修改权限）,P2,"1、存在成员A有项目A-任务的创建权限，有创建工作项的所有属性修改权限
2、任务存在属性都设置了必填和默认值：
系统属性：
标题
处理结果
发布日期
负责人
故事点
关联发布
截止日期
解决者
描述
缺陷类型
所属迭代
严重程度
优先级
进度

自定义属性：
单选菜单
多选菜单
单行文本
多行文本
日期
时间
单选迭代
单选成员
多选成员
多选项目
整数
浮点数
3、进入项目A-任务-建任务弹窗（异步丢失新建工作项的所有属性修改权限）","#修改以上的属性但与默认值结果一样，点击「确认」
#1、再次点击「+建任务」
2、检查以上所有属性值
#直接点击「确认」","#1、弹窗关闭，新建成功，任务 #ID 创建成功。点击查看详情
2、以上属性值均填充默认值
#展示默认值，输入框置灰无法操作
#1、弹窗关闭，新建成功，任务 #ID 创建成功。点击查看详情
2、以上属性值均填充默认值"
